Name,URL,Address,Rating
B.Ed Admission in Gurgaon,https://www.google.com/maps/place/B.Ed+Admission+in+Gurgaon/data=!4m7!3m6!1s0x390d19d7a8c27b65:0x914abbe8b434a5dd!8m2!3d28.4752606!4d77.0129207!16s%2Fg%2F119vnpng2!19sChIJZXvCqNcZDTkR3aU0tOi7SpE?authuser=0&hl=en&rclk=1,"
F23H+2JC, Shivaji Nagar, Sector 11, Gurugram, Haryana 122001",
VINAYAKA COLLEGE,https://www.google.com/maps/place/VINAYAKA+COLLEGE/data=!4m7!3m6!1s0x390d1907d1141b17:0x4416f930c0ddcd3a!8m2!3d28.4799006!4d77.0309181!16s%2Fg%2F11gxgk24nk!19sChIJFxsU0QcZDTkROs3dwDD5FkQ?authuser=0&hl=en&rclk=1,"
F23H+2JC, Shivaji Nagar, Sector 11, Gurugram, Haryana 122001",
GROW AMBITION MEDICAL INSTITUTE,https://www.google.com/maps/place/GROW+AMBITION+MEDICAL+INSTITUTE/data=!4m7!3m6!1s0x390d1929df339761:0xfc9ed5e3a1307d2f!8m2!3d28.46821!4d77.04164!16s%2Fg%2F11t_swnnqv!19sChIJYZcz3ykZDTkRL30woePVnvw?authuser=0&hl=en&rclk=1,"
F23H+2JC, Shivaji Nagar, Sector 11, Gurugram, Haryana 122001",
City Educare-B.ED COURSE INSTITUTE,https://www.google.com/maps/place/City+Educare-B.ED+COURSE+INSTITUTE/data=!4m7!3m6!1s0x390d19f8c2514e1f:0x3183273b99709003!8m2!3d28.4756295!4d77.082466!16s%2Fg%2F11f5v_30yg!19sChIJH05RwvgZDTkRA5BwmTsngzE?authuser=0&hl=en&rclk=1,"
SCO 23, Saraswati Vihar, HOUSING BOARD MARKET COMPLEX, near to MG Road Metro, Maruti Housing Colony, Gurugram, Haryana 122002",
PCS VOCATIONAL INSTITUTE (A Unit Of Paramount Career Solution Foundation) PCS women polytechnic,https://www.google.com/maps/place/PCS+VOCATIONAL+INSTITUTE+%28A+Unit+Of+Paramount+Career+Solution+Foundation%29+PCS+women+polytechnic/data=!4m7!3m6!1s0x390d193eef64356f:0x6b55cd4999da15a4!8m2!3d28.4706353!4d77.0442208!16s%2Fg%2F11s8b6xw5t!19sChIJbzVk7z4ZDTkRpBXamUnNVWs?authuser=0&hl=en&rclk=1,"
SCO 23, Saraswati Vihar, HOUSING BOARD MARKET COMPLEX, near to MG Road Metro, Maruti Housing Colony, Gurugram, Haryana 122002",
University Institute Of Law And Management Studies (Uilms),https://www.google.com/maps/place/University+Institute+Of+Law+And+Management+Studies+%28Uilms%29/data=!4m7!3m6!1s0x390d18f50abba48d:0x367bb8aa90e0b33e!8m2!3d28.4502502!4d77.0579118!16s%2Fg%2F11fnw18s01!19sChIJjaS7CvUYDTkRPrPgkKq4ezY?authuser=0&hl=en&rclk=1,"
SCO 23, Saraswati Vihar, HOUSING BOARD MARKET COMPLEX, near to MG Road Metro, Maruti Housing Colony, Gurugram, Haryana 122002",
Dronacharya Corporate Office,https://www.google.com/maps/place/Dronacharya+Corporate+Office/data=!4m7!3m6!1s0x390d19d9624f6581:0x41f403edaa80aa5b!8m2!3d28.4816246!4d77.0158848!16s%2Fg%2F11c5_ytxrj!19sChIJgWVPYtkZDTkRW6qAqu0D9EE?authuser=0&hl=en&rclk=1,"
475, Dalal St, Urban Estate, Sector 40, Gurugram, Haryana 122001",
"City Educare (B.Ed, M.Ed, JBT, D.El.Ed, NTT, NPTT, BBA,BCA, MBA, BA,B.COM,BA.B.Ed,LLB)","https://www.google.com/maps/place/City+Educare+%28B.Ed,+M.Ed,+JBT,+D.El.Ed,+NTT,+NPTT,+BBA,BCA,+MBA,+BA,B.COM,BA.B.Ed,LLB%29/data=!4m7!3m6!1s0x390d19ad5bb11ceb:0x549049d8d3bede9f!8m2!3d28.4693889!4d77.0438303!16s%2Fg%2F1v16npkc!19sChIJ6xyxW60ZDTkRn96-09hJkFQ?authuser=0&hl=en&rclk=1","
M 49, Sunder Singh Marg, Block M, Old DLF Colony, Sector 14, Gurugram, Haryana 122001",
Management Development Institute (MDI),https://www.google.com/maps/place/Management+Development+Institute+%28MDI%29/data=!4m7!3m6!1s0x390d19aa5e085f23:0xfce5c0dc18ffceca!8m2!3d28.4711888!4d77.0584662!16zL20vMGN4enE0!19sChIJI18IXqoZDTkRys7_GNzA5fw?authuser=0&hl=en&rclk=1,"
M 49, Sunder Singh Marg, Block M, Old DLF Colony, Sector 14, Gurugram, Haryana 122001",
Masters' Union School of Business,https://www.google.com/maps/place/Masters%27+Union+School+of+Business/data=!4m7!3m6!1s0x390d192bd6ccaeb3:0xae4dc02e39c2931f!8m2!3d28.5025843!4d77.0909444!16s%2Fg%2F11lg08bypl!19sChIJs67M1isZDTkRH5PCOS7ATa4?authuser=0&hl=en&rclk=1,"
Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122022",
CollegeSearch,https://www.google.com/maps/place/CollegeSearch/data=!4m7!3m6!1s0x390d18e6a2cbd465:0x3b62e0db3a3457a9!8m2!3d28.443857!4d77.0567162!16s%2Fg%2F12hpk11ls!19sChIJZdTLouYYDTkRqVc0OtvgYjs?authuser=0&hl=en&rclk=1,"
Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122022",
Astana medical university( official partners ),https://www.google.com/maps/place/Astana+medical+university%28+official+partners+%29/data=!4m7!3m6!1s0x390d19b3bcf0080d:0x14567f372ac1e588!8m2!3d28.4865751!4d77.0199566!16s%2Fg%2F11s7lxrq_l!19sChIJDQjwvLMZDTkRiOXBKjd_VhQ?authuser=0&hl=en&rclk=1,"
Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122022",
Polytechnic College Haryana,https://www.google.com/maps/place/Polytechnic+College+Haryana/data=!4m7!3m6!1s0x390d19f90e98595d:0x9f8df84b3681e2d0!8m2!3d28.473524!4d77.0805201!16s%2Fg%2F11js72vgkd!19sChIJXVmYDvkZDTkR0OKBNkv4jZ8?authuser=0&hl=en&rclk=1,"
Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122022",
SHIKSHAK MANTRA,https://www.google.com/maps/place/SHIKSHAK+MANTRA/data=!4m7!3m6!1s0x390d1980062d4f9f:0xf450faccdcc4715!8m2!3d28.4696773!4d77.044731!16s%2Fg%2F11ghn7qv05!19sChIJn08tBoAZDTkRFUfMzawPRQ8?authuser=0&hl=en&rclk=1,"
Vakil market, Plot No. 36/2, Chimes Tower, 2nd Floor, DLF Phase IV, Gurugram, Haryana 122002",
